,Exp Return,Volatility,Sharpe,Min_Corr,Corr_value,Clustering,D,W,M,3M,6M,A,YTD,Security,GICS Sector,GICS Sub-Industry,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,mv_Returns,mv_Volatility,mv_w0,mv_w1,mv_w2,mv_w3,mv_w4,mv_w5,mv_w6,mv_w7,mv_w8,mv_w9,or_Returns,or_Volatility,or_w0,or_w1,or_w2,or_w3,or_w4,or_w5,or_w6,or_w7,or_w8,or_w9
ETN,0.23091457321298073,0.49642270130685573,0.4651571586172176,CLX,0.10433214239285235,0.0,-4.87%,1.02%,-0.80%,18.57%,39.28%,30.99%,-1.34%,Eaton Corporation,Industrials,Electrical Components & Equipment,ETN,REGN,KR,DXCM,CLX,NLOK,NEM,AKAM,LLY,LUMN,0.3232002996950244,0.22406235444188924,0.03,0.03,0.16,0.02,0.2,0.19,0.1,0.11,0.02,0.12,0.3749588784688786,0.23678940525872097,0.0,0.01,0.07,0.07,0.26,0.13,0.12,0.02,0.24,0.07
EBAY,0.43855017256329204,0.37255790524365107,1.1771329138123705,VNT,-0.01645441534925072,2.0,-1.39%,1.88%,-0.36%,-3.25%,-3.61%,41.16%,15.00%,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,EBAY,VNT,LUMN,ANET,KEYS,SIVB,FFIV,AMAT,ALB,DVA,0.42426376169373736,0.23027961003901423,0.15,0.42,0.03,0.06,0.0,0.01,0.24,0.03,0.02,0.03,0.42426376169373736,0.23027961003901423,0.15,0.42,0.03,0.06,0.0,0.01,0.24,0.03,0.02,0.03
ECL,0.12125668766225142,0.4678900935541829,0.25915634746861677,KR,0.1101221373490126,0.0,-0.94%,0.77%,-2.39%,8.50%,9.24%,13.17%,0.22%,Ecolab Inc.,Materials,Specialty Chemicals,ECL,REGN,KR,CLX,NLOK,NEM,DXCM,AKAM,LLY,CHD,0.3023266508938779,0.2272677367804518,0.02,0.04,0.24,0.16,0.16,0.06,0.01,0.12,0.1,0.07,0.3685639685171754,0.24868470941296297,0.0,0.03,0.03,0.2,0.21,0.18,0.1,0.06,0.17,0.03
EIX,-0.1702487894790635,0.44203372060334883,-0.3851488733635171,KR,0.09902997399522201,3.0,-3.55%,-4.15%,3.48%,24.90%,19.75%,-12.75%,-5.78%,Edison Int'l,Utilities,Electric Utilities,EIX,ANSS,TGT,FDX,CMI,ENPH,ADSK,CHTR,MTD,PKI,0.33403311524373236,0.29805529851771084,0.02,0.01,0.21,0.04,0.14,0.01,0.09,0.28,0.1,0.09,0.7792756751937968,0.4627508142502688,0.0,0.08,0.2,0.08,0.17,0.31,0.01,0.01,0.09,0.05
EW,0.06784346504468602,0.4249510390704041,0.15965007449586682,KR,0.08543453170973556,0.0,-1.96%,-2.67%,8.75%,14.29%,32.01%,17.32%,-7.20%,Edwards Lifesciences,Health Care,Health Care Equipment,EW,REGN,KR,CLX,DXCM,NLOK,NEM,LLY,LUMN,AKAM,0.3353450860905944,0.22457762271171217,0.02,0.02,0.23,0.15,0.03,0.21,0.13,0.11,0.08,0.02,0.3652853589726708,0.23500974480769404,0.0,0.02,0.17,0.16,0.13,0.13,0.1,0.14,0.12,0.03
EA,0.26426606277632647,0.3546675806339032,0.7451091591286675,MAR,-0.06557222170603098,0.0,-0.05%,5.04%,12.56%,10.26%,8.89%,33.75%,0.81%,Electronic Arts,Communication Services,Interactive Home Entertainment,EA,LUMN,BLL,TT,SIVB,KEYS,LB,FDX,ANET,DVA,0.3667690449872625,0.2957443989531586,0.24,0.22,0.15,0.07,0.02,0.01,0.03,0.02,0.04,0.2,0.38752656197980523,0.3009085716573813,0.28,0.21,0.02,0.06,0.04,0.0,0.03,0.08,0.01,0.27
EMR,0.08576546380704127,0.5263603910715924,0.16294057315451754,CLX,0.03712302871801968,0.0,-2.89%,1.18%,4.62%,23.40%,31.36%,8.61%,1.69%,Emerson Electric Company,Industrials,Electrical Components & Equipment,EMR,KR,CLX,NLOK,DXCM,NEM,REGN,AKAM,LLY,NFLX,0.30901699458740317,0.22417286472798587,0.07,0.19,0.19,0.19,0.0,0.17,0.04,0.03,0.02,0.08,0.3880195373489551,0.24902302569892296,0.01,0.01,0.3,0.2,0.07,0.06,0.01,0.04,0.21,0.1
ENPH,1.7420113634740948,0.9927860863820788,1.754669396931569,KR,-0.011611939242693747,4.0,-4.44%,11.27%,28.48%,112.46%,268.87%,571.53%,5.14%,Enphase Energy,Information Technology,Semiconductor Equipment,ENPH,REGN,DXCM,KR,CLX,NLOK,AKAM,NEM,LUMN,CHD,0.32674454913770734,0.2262422023457801,0.01,0.06,0.0,0.16,0.21,0.18,0.1,0.05,0.13,0.08,0.6545503253862924,0.32315813959542894,0.21,0.04,0.1,0.07,0.22,0.11,0.0,0.04,0.18,0.03
ETR,-0.16186190867201156,0.4555979473144936,-0.355273568781644,KR,0.1346723361011743,3.0,-1.14%,-1.34%,-8.28%,2.22%,8.35%,-13.73%,-3.16%,Entergy Corp.,Utilities,Electric Utilities,ETR,DVA,ZBRA,FCX,LOW,ALB,CMI,CHTR,RMD,QCOM,0.2307864042941375,0.3304842037679277,0.2,0.08,0.01,0.01,0.1,0.01,0.22,0.29,0.05,0.02,0.5451900964768739,0.4173497250098183,0.0,0.2,0.05,0.18,0.06,0.21,0.02,0.02,0.07,0.18
EOG,-0.35084763346029263,0.7565702671311508,-0.46373436639358906,DPZ,-0.08210693534449011,1.0,2.84%,-7.32%,6.38%,40.16%,0.22%,-38.64%,10.79%,EOG Resources,Energy,Oil & Gas Exploration & Production,EOG,TER,DVA,ALGN,TXN,HOLX,AVGO,NKE,ADSK,KLAC,0.3614841484155971,0.3541650450721843,0.01,0.1,0.29,0.01,0.15,0.03,0.01,0.31,0.05,0.04,0.4300890101881974,0.37684046032498125,0.0,0.18,0.29,0.07,0.01,0.18,0.05,0.02,0.17,0.02
EFX,0.25152300359643104,0.40642872918098594,0.6188612800657255,VNT,-0.06835632326916631,0.0,-0.99%,0.98%,15.54%,23.19%,12.73%,39.00%,-5.16%,Equifax Inc.,Industrials,Research & Consulting Services,EFX,REGN,KR,NLOK,NEM,CLX,DXCM,LUMN,AKAM,WMT,0.3037924867844912,0.21564358765621944,0.07,0.01,0.15,0.2,0.1,0.19,0.01,0.09,0.0,0.17,0.35575039025134814,0.2378694609106318,0.01,0.06,0.07,0.13,0.17,0.24,0.11,0.16,0.01,0.04
EQIX,0.23798060568614948,0.3935676920927762,0.6046751561864738,VNT,0.01261019683268381,0.0,-0.48%,1.89%,2.35%,-5.71%,2.40%,24.22%,3.74%,Equinix,Real Estate,Specialized REITs,EQIX,LUMN,KEYS,FFIV,AMAT,ANET,SIVB,ALB,NWSA,DVA,0.3774172994773497,0.31355871893382303,0.09,0.19,0.17,0.23,0.02,0.04,0.01,0.05,0.03,0.15,0.48613556671196667,0.3666526523792938,0.01,0.15,0.05,0.25,0.04,0.02,0.06,0.24,0.01,0.17
EQR,-0.18371332704822704,0.49315400137994964,-0.3725272968163254,KR,0.05330882151898408,3.0,-2.92%,-0.05%,3.41%,16.68%,3.03%,-23.61%,5.85%,Equity Residential,Real Estate,Residential REITs,EQR,AMAT,NWSA,SIVB,ANET,KEYS,FFIV,TROW,ALB,CARR,0.540771144863797,0.3371298946032114,0.03,0.02,0.06,0.04,0.13,0.18,0.17,0.12,0.02,0.21,0.7691652517766199,0.40242463286024927,0.0,0.02,0.03,0.0,0.06,0.04,0.04,0.22,0.27,0.32
ESS,-0.14748790222642347,0.4930196621163295,-0.2991521709161028,KR,0.03283626518294607,3.0,-1.88%,1.22%,-2.59%,19.28%,5.57%,-18.09%,2.77%,"Essex Property Trust, Inc.",Real Estate,Residential REITs,ESS,ALB,GOOG,GOOGL,DVA,LRCX,TT,ZBRA,TROW,ALXN,0.3174794981178938,0.32372624134032985,0.05,0.03,0.17,0.1,0.16,0.0,0.14,0.02,0.12,0.19,0.4639636218138363,0.3669254172301146,0.01,0.25,0.07,0.03,0.26,0.01,0.08,0.04,0.08,0.17
EL,0.15771883637495987,0.40349374641498886,0.3908829759476564,KR,0.05487588515958077,0.0,-3.86%,0.28%,8.51%,22.23%,41.70%,29.77%,-8.09%,Estée Lauder Companies,Consumer Staples,Personal Products,EL,REGN,KR,DXCM,CLX,NLOK,NEM,LLY,AKAM,LUMN,0.3210171672273443,0.22038224715376667,0.07,0.03,0.18,0.01,0.19,0.22,0.06,0.09,0.07,0.07,0.37552213205173207,0.23618450322444806,0.04,0.01,0.04,0.1,0.25,0.2,0.09,0.13,0.01,0.14
ETSY,1.3593599836596333,0.7046330696177717,1.929174264269229,OTIS,0.04464783180880416,4.0,-5.40%,4.49%,10.71%,46.27%,67.48%,301.60%,13.24%,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,ETSY,REGN,LUMN,NLOK,KR,DXCM,CLX,AKAM,NEM,LLY,0.3660121023462576,0.22635534950295988,0.03,0.07,0.1,0.2,0.14,0.04,0.17,0.05,0.13,0.05,0.5910348482180147,0.284909750734124,0.23,0.01,0.09,0.15,0.1,0.02,0.2,0.01,0.07,0.12
EVRG,-0.12352059369792617,0.4800178451601296,-0.2573250035250686,VNT,0.08081804914719659,3.0,-1.53%,-0.92%,0.18%,10.30%,-4.54%,-11.67%,-2.70%,Evergy,Utilities,Electric Utilities,EVRG,LUMN,TROW,ANET,FFIV,AMAT,GOOGL,RMD,GOOG,SIVB,0.27911388785795416,0.3226524782806126,0.1,0.14,0.02,0.01,0.17,0.02,0.17,0.19,0.16,0.01,0.37687046084470055,0.35246233678720135,0.0,0.2,0.03,0.14,0.21,0.02,0.0,0.14,0.11,0.15
ES,0.08930437502509322,0.4372034936362723,0.20426272050650454,CARR,0.04405150997727232,0.0,-1.51%,-1.31%,-0.48%,4.24%,5.30%,4.45%,4.63%,Eversource Energy,Utilities,Multi-Utilities,ES,REGN,KR,DXCM,CLX,NEM,LLY,NLOK,MKTX,ATVI,0.33078521654334014,0.23003844025696907,0.04,0.01,0.23,0.03,0.1,0.15,0.16,0.2,0.02,0.05,0.370913740030099,0.2430853320488173,0.01,0.0,0.08,0.1,0.18,0.12,0.12,0.23,0.01,0.15
RE,-0.1784432103628033,0.4823446003644343,-0.36994963813833714,KR,0.11175379708682946,3.0,-3.63%,-0.99%,3.68%,19.32%,15.12%,-13.03%,-6.22%,Everest Re Group Ltd.,Financials,Reinsurance,RE,TTWO,CTLT,CHD,NOW,CDNS,TMUS,AMD,ABMD,ADBE,0.3553508927651138,0.2948941568190568,0.17,0.06,0.0,0.24,0.04,0.05,0.14,0.08,0.2,0.0,0.563894788690885,0.3476202569055471,0.01,0.02,0.17,0.09,0.17,0.09,0.13,0.03,0.26,0.04
EXC,-0.02709385846183546,0.4730279227045222,-0.05727750342289982,KR,0.1898299984570382,3.0,-4.27%,-1.89%,2.80%,19.13%,18.57%,-3.87%,0.38%,Exelon Corp.,Utilities,Multi-Utilities,EXC,ABMD,NVDA,CHD,LLY,ADBE,DG,WMT,ODFL,BIO,0.30800777211605956,0.2615696343984911,0.03,0.08,0.01,0.09,0.14,0.05,0.25,0.24,0.03,0.07,0.5200765702847603,0.31816882260999735,0.0,0.33,0.09,0.07,0.28,0.09,0.01,0.02,0.08,0.03
EXPE,0.15321160682195575,0.6865026816959048,0.2231769968377528,GIS,-0.19951684055289975,0.0,-6.30%,-2.96%,6.35%,44.40%,61.07%,22.89%,-2.92%,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,EXPE,NLOK,DXCM,NEM,CLX,KR,AKAM,REGN,MKTX,LLY,0.29072209934407756,0.220498652511027,0.12,0.15,0.01,0.03,0.22,0.22,0.11,0.1,0.0,0.03,0.350062482446164,0.23391161760763252,0.04,0.08,0.12,0.12,0.22,0.15,0.03,0.02,0.01,0.19
EXPD,0.1897001138116971,0.31306135674665514,0.6059518676564476,VNT,0.12336439514581256,0.0,-0.51%,0.62%,6.42%,5.69%,25.81%,23.47%,-1.20%,Expeditors,Industrials,Air Freight & Logistics,EXPD,REGN,LUMN,VNT,LLY,KR,NLOK,DXCM,CLX,NEM,0.33798666053208704,0.18572372509334184,0.18,0.01,0.02,0.23,0.11,0.2,0.08,0.0,0.11,0.06,0.38387291189816497,0.19605005176676155,0.01,0.01,0.09,0.22,0.13,0.09,0.13,0.01,0.19,0.12
EXR,0.11846756467777278,0.40581955733168845,0.2919217729591718,VNT,0.10475488999625801,0.0,-1.59%,2.88%,3.62%,9.18%,27.49%,13.64%,-0.77%,Extra Space Storage,Real Estate,Specialized REITs,EXR,DXCM,KR,CLX,REGN,NLOK,NEM,LLY,VNT,AKAM,0.3384609877525434,0.18084329973727925,0.1,0.03,0.2,0.17,0.01,0.14,0.06,0.01,0.27,0.0,0.3790093832994013,0.1982104831598982,0.01,0.04,0.13,0.21,0.0,0.08,0.05,0.17,0.24,0.07
XOM,-0.31229014444784753,0.516002913239679,-0.6052100413293431,CLX,-0.008897801091438631,3.0,-1.13%,-0.96%,8.10%,22.97%,-3.74%,-36.21%,11.89%,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,XOM,CARR,GOOGL,ALXN,GOOG,ALB,ZBRA,LRCX,OTIS,FCX,0.45841883564682046,0.31042004039473065,0.01,0.1,0.12,0.21,0.2,0.04,0.1,0.04,0.18,0.0,0.747941140643207,0.3823631241251069,0.03,0.33,0.0,0.08,0.14,0.18,0.12,0.06,0.03,0.03
FFIV,0.3345458419834935,0.4017598000995057,0.8327011361033011,VNT,-0.02322356041874456,2.0,-3.52%,4.73%,8.06%,43.31%,26.14%,25.99%,14.06%,F5 Networks,Information Technology,Communications Equipment,FFIV,REGN,KR,NLOK,CLX,DXCM,CHD,AKAM,NEM,UPS,0.29190779547653556,0.2198313638455755,0.17,0.05,0.19,0.15,0.07,0.02,0.13,0.09,0.07,0.04,0.33373957427207,0.22664294749935252,0.16,0.04,0.19,0.16,0.19,0.06,0.0,0.05,0.14,0.03
FB,0.2521226092400445,0.45051873112671925,0.5596273624617151,VNT,-0.04913766076261213,0.0,-3.51%,9.21%,-1.38%,4.30%,20.30%,33.09%,0.28%,"Facebook, Inc.",Communication Services,Interactive Media & Services,FB,VNT,LUMN,LLY,REGN,KR,NLOK,FFIV,KEYS,ANET,0.3307482079731068,0.20349241214847835,0.05,0.15,0.08,0.05,0.04,0.24,0.13,0.16,0.01,0.06,0.37194453142937217,0.20490682761865356,0.04,0.25,0.1,0.15,0.09,0.16,0.1,0.08,0.01,0.02
FAST,0.27600612276498426,0.3769790154148163,0.7321524845654219,VNT,0.11431520637846523,0.0,0.44%,-5.47%,-0.45%,9.79%,16.19%,36.60%,-0.96%,Fastenal Co,Industrials,Building Products,FAST,LUMN,REGN,LLY,KR,NLOK,DXCM,KEYS,FFIV,ANET,0.33205682378498436,0.24318403193794044,0.01,0.16,0.13,0.09,0.27,0.22,0.04,0.0,0.02,0.05,0.3541122538576573,0.24323394195895418,0.01,0.14,0.05,0.19,0.21,0.16,0.08,0.04,0.1,0.01
FRT,-0.2703515754911505,0.6421433924945813,-0.42101433830985324,AKAM,-0.09245413268433912,3.0,-0.54%,1.44%,-1.19%,17.35%,2.47%,-30.66%,5.31%,Federal Realty Investment Trust,Real Estate,Retail REITs,FRT,LRCX,FFIV,LB,GOOG,FCX,GOOGL,ANET,TXN,TT,0.33001749125432,0.34042771656485715,0.0,0.01,0.29,0.01,0.15,0.01,0.04,0.17,0.05,0.27,0.4471242455082425,0.4261158647432089,0.0,0.13,0.16,0.16,0.2,0.09,0.06,0.14,0.01,0.06
FDX,0.4428409789402051,0.5075459558378762,0.8725140528588122,NEM,0.08015663740342521,2.0,-2.74%,0.60%,-9.20%,3.45%,86.10%,74.27%,-5.98%,FedEx Corporation,Industrials,Air Freight & Logistics,FDX,REGN,VNT,LLY,LUMN,DXCM,KR,NLOK,CLX,NEM,0.35537361123257294,0.19005793434689688,0.03,0.08,0.23,0.04,0.06,0.01,0.22,0.21,0.04,0.07,0.40845942339688945,0.19772155760637355,0.04,0.05,0.37,0.05,0.03,0.01,0.01,0.12,0.29,0.04
FIS,-0.08462349401767567,0.44171869399713015,-0.1915777963841971,KR,0.06689711477212612,3.0,-4.39%,-0.50%,-4.46%,-3.68%,6.00%,2.71%,-11.51%,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,FIS,REGN,LLY,KR,VNT,CLX,ENPH,KEYS,NEM,FFIV,0.3458693089384505,0.1923160174351897,0.06,0.09,0.04,0.12,0.39,0.04,0.0,0.05,0.07,0.12,0.5789714124465953,0.2604868131677689,0.0,0.11,0.02,0.17,0.22,0.23,0.16,0.0,0.08,0.01
FITB,0.005508405718353535,0.7194969151611367,0.007655912905644476,KR,-0.027054100532203283,3.0,-4.40%,-3.04%,9.89%,32.28%,46.28%,-5.43%,6.86%,Fifth Third Bancorp,Financials,Regional Banks,FITB,AKAM,NFLX,MKTX,NEM,AMZN,NLOK,EBAY,DXCM,LLY,0.3726106079928276,0.2567844022350394,0.01,0.09,0.04,0.09,0.16,0.05,0.23,0.13,0.0,0.19,0.4136944875401917,0.26618007243104347,0.0,0.02,0.14,0.07,0.09,0.15,0.17,0.16,0.04,0.15
FE,-0.3737085952391046,0.5271694480056877,-0.7088965353604343,CARR,0.05680578581309673,3.0,-3.35%,-1.26%,15.25%,8.07%,-18.90%,-34.18%,0.69%,FirstEnergy Corp,Utilities,Electric Utilities,FE,VNT,LUMN,LLY,FFIV,ANET,KEYS,AMAT,ALXN,SIVB,0.36691726962638227,0.2500292964591962,0.06,0.25,0.1,0.25,0.2,0.05,0.02,0.01,0.07,0.0,0.393137756857729,0.2515523753974173,0.03,0.3,0.09,0.24,0.06,0.04,0.11,0.07,0.03,0.01
FRC,0.22267117769007416,0.4654316911542372,0.4784185991672926,CLX,0.1514000364857001,0.0,-3.59%,1.83%,13.41%,34.94%,39.10%,25.97%,1.71%,First Republic Bank,Financials,Regional Banks,FRC,REGN,KR,CLX,DXCM,NLOK,NEM,AKAM,LLY,CHD,0.32312594825774377,0.22384253676782073,0.04,0.02,0.18,0.23,0.02,0.22,0.11,0.06,0.08,0.03,0.3727365048007304,0.2473950657548812,0.01,0.05,0.09,0.19,0.17,0.22,0.1,0.0,0.16,0.01
FISV,-0.08927274357139539,0.4553219782742515,-0.19606508763261202,KR,0.035143151882512914,3.0,-2.82%,-0.85%,-1.15%,10.49%,16.64%,-1.53%,-7.59%,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,FISV,ROL,LLY,BIO,ABMD,EA,WMT,ODFL,ADBE,NVDA,0.3877912311372633,0.2695617620780153,0.01,0.13,0.17,0.08,0.12,0.15,0.18,0.14,0.01,0.0,0.5278862113050513,0.3262115153115056,0.0,0.1,0.18,0.11,0.24,0.13,0.02,0.0,0.04,0.19
FLT,-0.10327056622098604,0.5225455380992848,-0.19762979241316267,CLX,-0.06683626131749544,3.0,-6.03%,0.82%,2.87%,14.59%,8.47%,-5.18%,-7.37%,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,FLT,EBAY,TSCO,CHD,BIO,ETSY,ATVI,ROL,ODFL,AMD,0.3118524634772758,0.2725771940467623,0.12,0.1,0.08,0.25,0.08,0.0,0.1,0.19,0.06,0.01,0.8685192776567225,0.4519533145545108,0.0,0.05,0.03,0.02,0.09,0.45,0.04,0.16,0.04,0.13
FLIR,0.03943986629479627,0.5793486511242109,0.0680762201107472,OTIS,0.010017071245832992,3.0,0.33%,1.25%,14.62%,22.80%,9.01%,-14.39%,22.15%,FLIR Systems,Information Technology,Electronic Equipment & Instruments,FLIR,CDNS,MSCI,FAST,IDXX,EA,TTWO,CMG,CHTR,BLL,0.3191195108281236,0.2877948620974185,0.07,0.02,0.0,0.21,0.01,0.15,0.08,0.17,0.18,0.09,0.47826350555551167,0.34096101599408496,0.03,0.25,0.01,0.05,0.28,0.03,0.05,0.18,0.05,0.06
FLS,-0.22173893017124252,0.6220022846250983,-0.3564921474603458,KR,-0.1110364882630879,3.0,-0.81%,3.57%,8.73%,35.78%,30.81%,-23.85%,3.15%,Flowserve Corporation,Industrials,Industrial Machinery,FLS,POOL,AMD,CTLT,PGR,TTWO,FAST,CDNS,SNPS,ETSY,0.36568653218625546,0.31605213431784956,0.06,0.09,0.01,0.03,0.3,0.18,0.21,0.01,0.08,0.03,0.8359868751409594,0.4559590507777588,0.0,0.02,0.13,0.03,0.02,0.02,0.01,0.32,0.09,0.35
FMC,0.08947348491755991,0.5018892653424541,0.17827335847980222,KR,0.06550866387835029,0.0,-2.52%,-4.66%,-0.51%,8.98%,16.34%,17.32%,-4.82%,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,FMC,REGN,KR,CLX,NLOK,LLY,LUMN,DXCM,NEM,AKAM,0.2999131208810092,0.223652965579981,0.13,0.01,0.2,0.2,0.2,0.07,0.06,0.0,0.1,0.02,0.3673977168160952,0.233336297546404,0.02,0.03,0.09,0.27,0.18,0.19,0.08,0.07,0.06,0.01
F,0.14896511965270426,0.5509271930773721,0.27038984737822447,REGN,-0.05296161290375691,0.0,-3.57%,17.19%,-3.19%,31.98%,44.57%,-3.88%,24.46%,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,F,NEM,DXCM,AKAM,CLX,NLOK,KR,NFLX,MKTX,LLY,0.3233505242347115,0.22208863673046553,0.06,0.11,0.06,0.01,0.21,0.17,0.25,0.07,0.03,0.02,0.3781439607613825,0.24652665232854065,0.01,0.1,0.09,0.02,0.18,0.13,0.1,0.19,0.01,0.16
FTNT,0.28951722609926617,0.527902287248078,0.5484295732236767,CARR,0.08976860508991483,2.0,-2.56%,3.21%,20.53%,26.08%,8.20%,39.13%,0.09%,Fortinet,Information Technology,Systems Software,FTNT,TT,FDX,BLL,UPS,LB,CARR,KR,COST,LUMN,0.3940157687635708,0.2442009270800316,0.02,0.08,0.01,0.15,0.17,0.01,0.11,0.26,0.14,0.05,0.54493859286571,0.2563645496194925,0.06,0.0,0.03,0.03,0.17,0.01,0.26,0.25,0.18,0.01
FTV,0.05263102426018275,0.44750205524405334,0.11761068724361382,KR,0.01665071829881318,0.0,-1.28%,-1.28%,0.98%,11.15%,25.32%,11.26%,-4.91%,Fortive Corp,Industrials,Industrial Machinery,FTV,KR,NLOK,CLX,REGN,DXCM,NEM,LLY,AKAM,LUMN,0.2839739934068854,0.2194214807779045,0.14,0.16,0.15,0.16,0.01,0.02,0.11,0.05,0.12,0.06,0.36998265780361406,0.2347454981860021,0.0,0.08,0.24,0.23,0.04,0.11,0.06,0.14,0.03,0.07
FBHS,0.2643465186846784,0.5581285277452207,0.4736301864959491,KR,0.042046626143365115,2.0,-3.83%,4.81%,2.66%,-0.64%,34.84%,32.92%,0.75%,Fortune Brands Home & Security,Industrials,Building Products,FBHS,REGN,VNT,LLY,KR,LUMN,CLX,NLOK,DXCM,NEM,0.35995350127158005,0.1925783137201738,0.0,0.1,0.21,0.01,0.14,0.1,0.22,0.17,0.0,0.04,0.38089613622979246,0.1948899790354668,0.02,0.03,0.22,0.07,0.07,0.05,0.23,0.2,0.06,0.04
FOXA,-0.10338619206403489,0.4975743269644742,-0.20778039874918316,REGN,0.0655537951414138,3.0,-1.57%,-4.22%,0.97%,4.64%,9.48%,-20.22%,13.43%,Fox Corporation (Class A),Communication Services,Movies & Entertainment,FOXA,TYL,ENPH,RMD,FDX,NDAQ,CHTR,MNST,LOW,TSLA,0.36581030377756907,0.30597145519722985,0.02,0.38,0.01,0.05,0.02,0.08,0.3,0.11,0.01,0.03,1.1657326864752495,0.5152506590849013,0.02,0.17,0.25,0.02,0.07,0.02,0.12,0.05,0.01,0.28
FOX,-0.135245846619352,0.4881939954501365,-0.2770329989303726,CLX,0.0781742353438047,3.0,-2.78%,-4.01%,1.76%,3.25%,8.50%,-19.41%,8.17%,Fox Corporation (Class B),Communication Services,Movies & Entertainment,FOX,RMD,TYL,CMG,ENPH,AAPL,UPS,FDX,TSLA,IDXX,0.3947723487543726,0.30489408175321253,0.13,0.07,0.28,0.05,0.01,0.02,0.14,0.04,0.03,0.22,1.2352928812662904,0.5253539499857212,0.03,0.05,0.07,0.01,0.24,0.04,0.13,0.06,0.32,0.04
BEN,0.11162366940697716,0.5301805471413715,0.21053897584290834,DPZ,0.14423232779852027,0.0,-1.63%,-0.34%,14.94%,24.20%,23.74%,1.46%,11.68%,Franklin Resources,Financials,Asset Management & Custody Banks,BEN,DXCM,NLOK,NEM,CLX,KR,AKAM,MKTX,NFLX,AMZN,0.3368458545725145,0.23077971238060088,0.05,0.02,0.21,0.09,0.18,0.19,0.08,0.03,0.01,0.14,0.38530631200085586,0.24785241721898654,0.03,0.02,0.24,0.05,0.29,0.03,0.01,0.04,0.09,0.2
FCX,0.677288048519996,0.7052261088194037,0.9603842513060415,KR,0.0035071070256605065,2.0,-4.52%,0.46%,11.24%,66.37%,124.89%,99.06%,5.94%,Freeport-McMoRan Inc.,Materials,Copper,FCX,REGN,KR,DXCM,NLOK,CLX,NEM,AKAM,LUMN,LLY,0.3331621468292931,0.22653728312084473,0.0,0.04,0.22,0.05,0.19,0.18,0.1,0.08,0.11,0.03,0.39850097394136924,0.24620399771199267,0.08,0.02,0.06,0.08,0.16,0.21,0.1,0.04,0.06,0.19
GPS,0.1825486148175036,0.9088793312825967,0.2008502212938364,EA,-0.06444048966389383,3.0,-10.45%,2.40%,-3.67%,18.56%,59.98%,20.16%,3.10%,Gap Inc.,Consumer Discretionary,Apparel Retail,GPS,KR,DXCM,NLOK,CLX,REGN,NEM,LLY,VNT,AKAM,0.34941813309125697,0.18925067184594893,0.04,0.25,0.04,0.21,0.11,0.03,0.04,0.04,0.23,0.01,0.37165795419898345,0.18972324987040923,0.02,0.19,0.06,0.11,0.22,0.04,0.01,0.07,0.27,0.01
GRMN,0.1995051884672667,0.36152057924883263,0.5518501571384914,KR,0.15999601079806364,0.0,-3.38%,2.33%,3.01%,26.79%,24.12%,25.86%,-0.61%,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,GRMN,REGN,KR,NLOK,DXCM,CLX,NEM,AKAM,LLY,LUMN,0.3085509405416703,0.2224832553748858,0.14,0.07,0.16,0.14,0.04,0.18,0.12,0.05,0.04,0.04,0.36182386208961903,0.23091336056371908,0.02,0.01,0.13,0.21,0.04,0.21,0.09,0.03,0.17,0.1
IT,0.012384673122382043,0.4717641872165346,0.026251829744544836,CLX,0.019745783125740102,0.0,-3.51%,0.00%,5.39%,28.20%,32.03%,3.95%,-2.53%,Gartner Inc,Information Technology,IT Consulting & Other Services,IT,NEM,AKAM,DXCM,NLOK,NFLX,CLX,MKTX,AMZN,EBAY,0.35952427264275355,0.23908561703883077,0.0,0.14,0.08,0.0,0.15,0.04,0.32,0.06,0.01,0.18,0.4011574275771156,0.2537584758738846,0.04,0.05,0.0,0.11,0.18,0.01,0.16,0.01,0.25,0.17
GD,-0.1101356278629217,0.3909249105468068,-0.2817309025123759,DPZ,0.11514562166812198,3.0,1.60%,-0.26%,-0.35%,8.33%,1.08%,-13.14%,3.10%,General Dynamics,Industrials,Aerospace & Defense,GD,SNPS,DHR,EA,UPS,CHD,ABMD,IDXX,PGR,POOL,0.30075401837542703,0.261946849471348,0.11,0.01,0.07,0.15,0.14,0.2,0.12,0.07,0.12,0.0,0.5352917343872678,0.32320936032040354,0.01,0.27,0.11,0.03,0.09,0.02,0.26,0.17,0.03,0.03
